input_name,normalized_name,medical_store_id
"AVKAR MEDICAL STORE PEDAKROAD, RAJKOT, RAJKOT",avkar medical store pedakroad rajkot rajkot,79f47867-e97e-4885-8dcc-24397d537d15
AVKAR MEDICAL STORES,avkar medical stores,62bc174f-24d6-49dc-9490-a83b0ef858a3
AVNI MEDICO (NO PRINT),avni medico no print,02b6f084-da8a-40b8-83b8-1abd2637e4de
"B V BHATT MEDICAL ( JASDAN ), jasdan, JASDAN",b v bhatt medical jasdan jasdan jasdan,79897e6b-8140-407f-a2d4-af6df08e473a
"B V BHATT MEDIICAL JASJAN, jasdan, JASDAN",b v bhatt mediical jasjan jasdan jasdan,60c4e8a0-dc56-400f-aab2-07f7c1cf7f4a
"BABULAL VISWANATH BHATT, JASDAN, JASDAN",babulal viswanath bhatt jasdan jasdan,b931adb3-d008-4411-b9c6-eaa3620a88ee
BAHUCHARAJI MEDICAL STORES,bahucharaji medical stores,cb07f67f-b82f-472f-9a1b-53b0b91b6253
BAJARANG DRUG HOUSE MRV RD.,bajarang drug house mrv rd,6e7acf04-5d4e-47b5-a15b-4dab413f483f
"BAJRANG DRUG HOUSE [CT] S.K, RAJKOT, RAJKOT",bajrang drug house ct s k rajkot rajkot,48a52f52-4d86-46c6-994c-d4ce3bf1823b
"BAJRANG M.STORE kuvadva pedak, RAJKOT, RAJKOT",bajrang m store kuvadva pedak rajkot rajkot,b3bc03bd-8f49-4ad3-9072-d9afc18907b9
"BAJRANG MED STORE [CT] S.K, RAJKOT, RAJKOT",bajrang med store ct s k rajkot rajkot,c6df2982-378a-4c35-b6b0-2e968c14b6a5
"BAJRANG MEDI STORE [CT] B.V, RAJKOT, RAJKOT",bajrang medi store ct b v rajkot rajkot,52b8cc89-aaba-47f0-bcda-2a4996d6c41a
"BAJRANG MEDI.STORE-BAJRANGVADI, RAJKOT, RAJKOT",bajrang medi store bajrangvadi rajkot rajkot,5b3189fc-f094-4471-bef0-cec3a7197d17
BAJRANG MEDICAL STORE 0796,bajrang medical store 0796,189960f0-cd3f-4389-918b-f257c63eaa89
"BAJRANG MEDICAL STORE [CT] JIVRAJ PARK, RAJKOT, RA",bajrang medical store ct jivraj park rajkot ra,8cd9711e-23a3-43cf-b0b7-031487105809
"BAJRANG MEDICAL, GUNDASARA, GUNDASARA",bajrang medical gundasara gundasara,0e3102ef-7045-49d8-afe4-856ccd94d1fe
"BALAJI M STORE [CT] PUSKAR, RAJKOT, RAJKOT",balaji m store ct puskar rajkot rajkot,41a421c1-dc80-4792-bdb0-8aafa6abe0dc
"BALAJI ME STORE [CT] S.V, RAJKOT, RAJKOT",balaji me store ct s v rajkot rajkot,2ded9231-1615-4ed7-ac22-d9dc0b4cb5af
"BALAJI MED.STORES MORBIROAD, RAJKOT, RAJKOT",balaji med stores morbiroad rajkot rajkot,b080540f-9d18-4be1-9227-eb2d58b354b3
"BALAJI MEDI.STORES - MAVDI, RAJKOT, RAJKOT",balaji medi stores mavdi rajkot rajkot,77aaa109-7841-4e8b-99cc-9e9a8f633c1b
"BALAJI MEDICAL ( GAVRIDAD ), GAVR, GAVR",balaji medical gavridad gavr gavr,90e383f3-5eef-41d1-b429-e9014842be84
"BALAJI MEDICAL ( RAMAPIR CHOWKDI ), RAJKOT, RAJKOT",balaji medical ramapir chowkdi rajkot rajkot,40660d49-7eea-4e3d-8edb-4ac4942d0591
"BALAJI MEDICAL (DT) SPEEDWELL, RAJKOT, RAJKOT",balaji medical dt speedwell rajkot rajkot,e82bdd5c-b89c-46e2-a2c1-883a50e738a8
"BALAJI MEDICAL - SPEEDWELL MAVDI, RAJKOT, RAJKOT",balaji medical speedwell mavdi rajkot rajkot,efd45c04-716c-43bc-a00e-682a48795f2a
BALAJI MEDICAL DHARAMNAGAR,balaji medical dharamnagar,906c0ce8-dc3c-4875-9bdf-73b3616424ad
BALAJI MEDICAL STORE,balaji medical store,3dc97143-9a91-4a54-a6a1-97dfebc68e48
"BALAJI MEDICAL STORE ( DHARAM NAGAR ) 7, RAJKOT, R",balaji medical store dharam nagar 7 rajkot r,1378ca53-9c41-465f-8d62-8fefe038392f
"BALAJI MEDICAL STORE - DHARAM, RAJKOT, RAJKOT",balaji medical store dharam rajkot rajkot,bd097d80-b30f-4969-87f7-41a6f5dc8bf6
"BALAJI MEDICAL STORE MARVEL HO. 1, RAJKOT, RAJKOT",balaji medical store marvel ho 1 rajkot rajkot,b964e083-d23c-484c-a91f-9714cea0d55e
BALAJI MEDICAL STORE SHAPAR,balaji medical store shapar,3dc97143-9a91-4a54-a6a1-97dfebc68e48
"BALAJI MEDICAL STORE UNI.ROAD, RAJKOT, RAJKOT",balaji medical store uni road rajkot rajkot,e3d99690-6b64-46d3-b11d-6bcf615b4f04
"BALAJI MEDICAL STORE, KUVADAVA, KUVADAVA",balaji medical store kuvadava kuvadava,282b6eae-da6a-4977-b37d-f3d6f78ba361
"BALAJI MEDICAL STORE, SHAPAR, SHAPAR",balaji medical store shapar shapar,261b9f93-55d9-4c08-b90a-66e504679f87
BALAJI MEDICINE (MAVDI),balaji medicine mavdi,951f79b4-8158-42c3-8027-8467a06cc3e9
BALAJI MEDICINE (MAVDI) 1154,balaji medicine mavdi 1154,951f79b4-8158-42c3-8027-8467a06cc3e9
"BALAJI MEDICINE 80 FOOT ROAD MAVDI-2, RAJKOT, RAJK",balaji medicine 80 foot road mavdi 2 rajkot rajk,1f926211-7f6a-48af-ace2-27611d504e83
"BALAJI MEDICINE [DT] UDGAM, RAJKOT, RAJKOT",balaji medicine dt udgam rajkot rajkot,e297065b-198d-4771-a0ca-c57d7baad926
"BALAJI MEDICINES BALAJI HALL(MAVADI-2), RAJKOT, RA",balaji medicines balaji hall mavadi 2 rajkot ra,02669a55-1f5c-4037-9320-bf1a538d3ac6
"BALAJI MEDICINES [DT] BALAJI HALL, RAJKOT, RAJKOT",balaji medicines dt balaji hall rajkot rajkot,ffca8cac-2fef-4d6b-9acc-bc61deae38ef
"BALAJI PHARMACY ( KOTHARIYA ) 2, RAJKOT, RAJKOT",balaji pharmacy kothariya 2 rajkot rajkot,39f5248e-b9de-4f6d-8fab-70d86a0a2980
"BALAJI PHARMACY (CT) SONI BAZAR, RAJKOT, RAJKOT",balaji pharmacy ct soni bazar rajkot rajkot,581554cc-e262-4952-96c5-1fd81ad53074
"BALAJI PHARMACY [CT] S.K., RAJKOT, RAJKOT",balaji pharmacy ct s k rajkot rajkot,b116bb1a-09d4-4bca-aad6-b2638a7c51f5
"BALAJI PHARMACY( SONY BAZAR), RAJKOT, RAJKOT",balaji pharmacy sony bazar rajkot rajkot,eda471fa-9d80-462a-be85-aeb8c6b2c318
"BALAJI PHARMACY- SONI BAZAR, RAJKOT, RAJKOT",balaji pharmacy soni bazar rajkot rajkot,31e39a21-ae01-44e2-8031-bd8c59f47486
"BHAGAVATI MEDICINES 7, RAJKOT, RAJKOT",bhagavati medicines 7 rajkot rajkot,47926149-c9fe-4c2b-8be6-401a8bf530d8
"BHAGVATI MEDICINES MAVADI, RAJKOT, RAJKOT",bhagvati medicines mavadi rajkot rajkot,f766c158-9ee6-4b43-8b78-a63bf043f4f1
"BHAGVATI MEDICINES [CT] MAVDI, RAJKOT, RAJKOT",bhagvati medicines ct mavdi rajkot rajkot,7cb9802e-ce3a-496d-acec-9899eb662d55
"BHAGVATI MEDICINSE MAVDI-2, RAJKOT, RAJKOT",bhagvati medicinse mavdi 2 rajkot rajkot,a8343c98-7609-48f9-9eae-cd2058275872
"BHAKTI DRUG HOUSE- PEDAK, RAJKOT, RAJKOT",bhakti drug house pedak rajkot rajkot,facc0b6a-00d0-4fae-852d-15eba48212eb
"BHAKTI M & G STORE [CT] RAIYA, RAJKOT, RAJKOT",bhakti m g store ct raiya rajkot rajkot,ed8e461d-a485-4e1d-aba0-21414964471b
"BHAKTI M.& GEN.STORE - RAIYA, RAJKOT, RAJKOT",bhakti m gen store raiya rajkot rajkot,193a5084-93ef-4787-a324-0a96a75ebd66
"BHARAT MEDICAL STORE [CT] MAVDI, RAJKOT, RAJKOT",bharat medical store ct mavdi rajkot rajkot,180c64c1-59b0-4988-8a9d-8a565256e41b
"BHARAT MEDICAL STORE(MAVDI) 1, RAJKOT, RAJKOT",bharat medical store mavdi 1 rajkot rajkot,34538f61-af48-404f-9c54-99256681ae0e
BHARAT MEDICAL STORES (WAN),bharat medical stores wan,a5194c59-8525-4a51-9514-c3a65d2f0d03
"BHAVANI M STORE [DT] ST, RAJKOT, RAJKOT",bhavani m store dt st rajkot rajkot,851082ed-d2e9-49ff-91ff-f5bf67ae4b86
"BHAVANI M.STORE - S.T. KENAL ROD, RAJKOT, RAJKOT",bhavani m store s t kenal rod rajkot rajkot,4eb56080-02e2-4166-9403-42d52bd8a2ca
"BHAVESH M STORE [CT] CHK, RAJKOT, RAJKOT",bhavesh m store ct chk rajkot rajkot,21b74d5b-9b64-427f-98c8-f77c45db5718
"BHAVESH M STORE [DT] CHK, RAJKOT, RAJKOT",bhavesh m store dt chk rajkot rajkot,1288f037-711b-49f1-ba97-5a68ab84d572
"BHAVESH M.STORE jubeli jnksan, RAJKOT, RAJKOT",bhavesh m store jubeli jnksan rajkot rajkot,1c45eda1-58c9-4fb4-9d0e-1d20ffd4e16c
"BHAVNATH M STORE [CT] KO.RD, RAJKOT, RAJKOT",bhavnath m store ct ko rd rajkot rajkot,e7305c02-2e4b-4d5c-99f5-efcbb37b3812
"BHAVNATH M. STORE kothariya, RAJKOT, RAJKOT",bhavnath m store kothariya rajkot rajkot,2c0db35c-da64-4cb0-9011-a2b06b8165d4
"BHAVNATH MEDICAL STORE 2, RAJKOT, RAJKOT",bhavnath medical store 2 rajkot rajkot,9db8ed6a-9da6-48fb-8870-9d093cd951f7
BHAVNATH MEDICAL STORES,bhavnath medical stores,841960c2-517d-469e-82e1-2cadc83327b6
"BHOOMI MEDICINES RAIYAROAD, RAJKOT, RAJKOT",bhoomi medicines raiyaroad rajkot rajkot,4725cc6c-6f6b-4471-b203-5727e768ced3
BHUPESH MEDICINES,bhupesh medicines,591db925-3d9c-410b-8610-6d94be341555
"BHUPESH MEDICINES 7, RAIYA ROAD, RAJKOT",bhupesh medicines 7 raiya road rajkot,ed48b1af-8f58-49bb-b768-5d9909011235
BINA MEDICINES,bina medicines,5a1ce9e0-d41c-454c-bc2c-c5ec36e65780
